지점번호,시간,,2021.06.05,2021.06.04,2021.06.03,2021.06.02,2021.06.01,2021.05.31,2021.05.30
target,time,avg,sat,fri,thu,wed,tue,mon,sun
5,00H,257.8571429,345,246,247,259,251,241,216
5,01H,233.5714286,304,231,234,235,224,198,209
5,02H,227.1428571,262,229,217,247,239,214,182
5,03H,226.7142857,244,221,231,264,255,219,153
5,04H,301.4285714,309,312,308,324,337,334,186
5,05H,496.1428571,511,511,500,506,534,602,309
5,06H,851.1428571,860,868,768,896,954,"1,185",427
5,07H,1383.571429,"1,295","1,409","1,421","1,486","1,461","1,925",688
5,08H,1415,"1,577","1,475","1,489","1,513","1,445","1,586",820
5,09H,1560.285714,"2,187","1,610","1,412","1,513","1,460","1,447","1,293"
5,10H,1670.714286,"2,657","1,724",955,"1,619","1,612","1,538","1,590"
5,11H,1742.428571,"2,561","1,579","1,845","1,419","1,518","1,608","1,667"
5,12H,1495.285714,"2,386","1,476","1,236","1,202","1,262","1,477","1,428"
5,13H,1397.142857,"2,059","1,461","1,136","1,206","1,190","1,240","1,488"
5,14H,1444.428571,"2,040","1,589","1,159","1,241","1,271","1,260","1,551"
5,15H,1508.285714,"2,163","1,744","1,222","1,187","1,285","1,228","1,729"
5,16H,1464,"1,979","1,872","1,229","1,166","1,197","1,158","1,647"
5,17H,1417.142857,"1,785","1,881","1,220","1,224","1,170","1,096","1,544"
5,18H,1214.428571,"1,547","1,724",940,907,961,"1,013","1,409"
5,19H,1007.571429,"1,140","1,697",715,801,726,782,"1,192"
5,20H,819.2857143,834,"1,424",652,633,578,638,976
5,21H,649.2857143,632,"1,099",510,492,513,516,783
5,22H,496.4285714,471,795,376,403,392,415,623
5,23H,351.1428571,298,488,305,324,305,336,402
6,00H,274.2857143,349,268,276,285,277,260,205
6,01H,247,292,245,239,275,252,217,209
6,02H,232.7142857,277,224,216,252,256,216,188
6,03H,247.5714286,262,272,235,277,286,235,166
6,04H,318.1428571,321,333,315,339,359,354,206
6,05H,539,569,575,541,543,571,685,289
6,06H,930.2857143,964,925,874,967,"1,041","1,280",461
6,07H,1470,"1,372","1,545","1,523","1,521","1,585","2,027",717
6,08H,1479.714286,"1,625","1,556","1,564","1,578","1,538","1,604",893
6,09H,1644.142857,"2,354","1,656","1,517","1,577","1,559","1,503","1,343"
6,10H,1759.571429,"2,768","1,762","1,067","1,674","1,728","1,635","1,683"
6,11H,1767,"2,572","1,643","1,737","1,459","1,564","1,698","1,696"
6,12H,1546,"2,405","1,510","1,283","1,296","1,342","1,517","1,469"
6,13H,1471.428571,"2,113","1,556","1,225","1,290","1,271","1,279","1,566"
6,14H,1516.857143,"2,139","1,677","1,214","1,267","1,335","1,339","1,647"
6,15H,1549.285714,"2,254","1,739","1,260","1,241","1,328","1,257","1,766"
6,16H,1508.142857,"2,024","1,847","1,285","1,256","1,251","1,219","1,675"
6,17H,1472.285714,"1,840","1,920","1,215","1,285","1,264","1,171","1,611"
6,18H,1324.142857,"1,574","1,871","1,043","1,091","1,057","1,165","1,468"
6,19H,1058.571429,"1,170","1,800",735,908,748,856,"1,193"
6,20H,846.5714286,839,"1,472",665,629,628,666,"1,027"
6,21H,649.4285714,635,"1,120",516,492,476,517,790
6,22H,490.5714286,456,770,380,397,419,422,590
6,23H,364.4285714,301,489,318,333,316,356,438
1,00H,272,316,251,275,280,258,261,263
1,01H,214,227,206,223,213,242,213,174
1,02H,199.2857143,192,197,223,208,222,173,180
1,03H,202,197,206,189,194,236,242,150
1,04H,266.1428571,232,316,267,286,274,306,182
1,05H,367.2857143,325,380,378,375,389,512,212
1,06H,525,446,522,515,516,523,864,289
1,07H,706.4285714,681,701,664,687,701,"1,131",380
1,08H,824.5714286,913,835,816,822,828,972,586
1,09H,1086.571429,"1,201","1,144","1,073","1,077","1,046","1,138",927
1,10H,1299.428571,"1,541","1,356","1,239","1,251","1,187","1,154","1,368"
1,11H,1412.428571,"1,663","1,440","1,335","1,268","1,175","1,273","1,733"
1,12H,1362.142857,"1,485","1,419","1,183","1,226","1,122","1,275","1,825"
1,13H,1432.714286,"1,647","1,527","1,245","1,220","1,254","1,297","1,839"
1,14H,1656.571429,"1,931","1,674","1,439","1,258","1,341","1,738","2,215"
1,15H,1750.571429,"2,020","1,792","1,438","1,486","1,413","1,432","2,673"
1,16H,1917.428571,"2,125","2,132","1,549","1,627","1,517","1,539","2,933"
1,17H,1968.428571,"2,209","2,232","1,605","1,746","1,691","1,628","2,668"
1,18H,1681.714286,"1,796","2,161","1,292","1,548","1,456","1,357","2,162"
1,19H,1253,"1,392","1,678",882,"1,030","1,015",934,"1,840"
1,20H,1024.714286,"1,184","1,256",678,851,797,777,"1,630"
1,21H,815,887,845,577,690,677,699,"1,330"
1,22H,588.5714286,686,601,443,499,535,479,877
1,23H,411.4285714,396,476,341,397,361,382,527
2,00H,272,316,251,275,280,258,261,263
2,01H,214,227,206,223,213,242,213,174
2,02H,199.2857143,192,197,223,208,222,173,180
2,03H,202,197,206,189,194,236,242,150
2,04H,266.1428571,232,316,267,286,274,306,182
2,05H,367.2857143,325,380,378,375,389,512,212
2,06H,525,446,522,515,516,523,864,289
2,07H,706.4285714,681,701,664,687,701,"1,131",380
2,08H,824.5714286,913,835,816,822,828,972,586
2,09H,1086.571429,"1,201","1,144","1,073","1,077","1,046","1,138",927
2,10H,1299.428571,"1,541","1,356","1,239","1,251","1,187","1,154","1,368"
2,11H,1412.428571,"1,663","1,440","1,335","1,268","1,175","1,273","1,733"
2,12H,1362.142857,"1,485","1,419","1,183","1,226","1,122","1,275","1,825"
2,13H,1432.714286,"1,647","1,527","1,245","1,220","1,254","1,297","1,839"
2,14H,1656.571429,"1,931","1,674","1,439","1,258","1,341","1,738","2,215"
2,15H,1750.571429,"2,020","1,792","1,438","1,486","1,413","1,432","2,673"
2,16H,1917.428571,"2,125","2,132","1,549","1,627","1,517","1,539","2,933"
2,17H,1968.428571,"2,209","2,232","1,605","1,746","1,691","1,628","2,668"
2,18H,1681.714286,"1,796","2,161","1,292","1,548","1,456","1,357","2,162"
2,19H,1253,"1,392","1,678",882,"1,030","1,015",934,"1,840"
2,20H,1024.714286,"1,184","1,256",678,851,797,777,"1,630"
2,21H,815,887,845,577,690,677,699,"1,330"
2,22H,588.5714286,686,601,443,499,535,479,877
2,23H,411.4285714,396,476,341,397,361,382,527
3,00H,259.8571429,305,239,260,256,242,275,242
3,01H,207,228,195,231,214,225,197,159
3,02H,200.8571429,186,216,212,209,234,188,161
3,03H,199,199,202,199,204,216,257,116
3,04H,240,202,288,243,266,262,274,145
3,05H,374,324,379,387,389,411,470,258
3,06H,529.1428571,468,497,512,535,528,813,351
3,07H,699.2857143,627,686,699,716,715,"1,111",341
3,08H,804.2857143,841,793,849,875,812,938,522
3,09H,979.4285714,"1,062","1,020","1,026","1,014",979,962,793
3,10H,1158.714286,"1,390","1,178","1,145","1,171","1,092",956,"1,179"
3,11H,1270.857143,"1,468","1,282","1,176","1,177","1,087","1,201","1,505"
3,12H,1243.571429,"1,269","1,299","1,084","1,147","1,073","1,210","1,623"
3,13H,1293.714286,"1,443","1,410","1,155","1,164","1,129","1,216","1,539"
3,14H,1467.428571,"1,674","1,458","1,346","1,171","1,218","1,581","1,824"
3,15H,1541,"1,741","1,533","1,227","1,333","1,261","1,384","2,308"
3,16H,1664.857143,"1,751","1,905","1,330","1,430","1,344","1,417","2,477"
3,17H,1674.714286,"1,890","1,797","1,297","1,545","1,487","1,378","2,329"
3,18H,1475.857143,"1,538","1,870","1,155","1,385","1,298","1,209","1,876"
3,19H,1067.857143,"1,188","1,386",773,920,878,808,"1,522"
3,20H,850.5714286,963,"1,076",549,702,684,656,"1,324"
3,21H,702.7142857,770,723,514,592,613,624,"1,083"
3,22H,509.4285714,579,517,381,456,489,410,734
3,23H,376.1428571,351,429,320,371,348,345,469
4,00H,259.8571429,305,239,260,256,242,275,242
4,01H,207,228,195,231,214,225,197,159
4,02H,200.8571429,186,216,212,209,234,188,161
4,03H,199,199,202,199,204,216,257,116
4,04H,240,202,288,243,266,262,274,145
4,05H,374,324,379,387,389,411,470,258
4,06H,529.1428571,468,497,512,535,528,813,351
4,07H,699.2857143,627,686,699,716,715,"1,111",341
4,08H,804.2857143,841,793,849,875,812,938,522
4,09H,979.4285714,"1,062","1,020","1,026","1,014",979,962,793
4,10H,1158.714286,"1,390","1,178","1,145","1,171","1,092",956,"1,179"
4,11H,1270.857143,"1,468","1,282","1,176","1,177","1,087","1,201","1,505"
4,12H,1243.571429,"1,269","1,299","1,084","1,147","1,073","1,210","1,623"
4,13H,1293.714286,"1,443","1,410","1,155","1,164","1,129","1,216","1,539"
4,14H,1467.428571,"1,674","1,458","1,346","1,171","1,218","1,581","1,824"
4,15H,1541,"1,741","1,533","1,227","1,333","1,261","1,384","2,308"
4,16H,1664.857143,"1,751","1,905","1,330","1,430","1,344","1,417","2,477"
4,17H,1674.714286,"1,890","1,797","1,297","1,545","1,487","1,378","2,329"
4,18H,1475.857143,"1,538","1,870","1,155","1,385","1,298","1,209","1,876"
4,19H,1067.857143,"1,188","1,386",773,920,878,808,"1,522"
4,20H,850.5714286,963,"1,076",549,702,684,656,"1,324"
4,21H,702.7142857,770,723,514,592,613,624,"1,083"
4,22H,509.4285714,579,517,381,456,489,410,734
4,23H,376.1428571,351,429,320,371,348,345,469
7,00H,216.1428571,339,185,197,188,196,216,192
7,01H,191.5714286,249,194,175,172,200,176,175
7,02H,178,212,183,173,181,180,180,137
7,03H,185.5714286,195,213,175,191,208,175,142
7,04H,226,253,233,220,227,262,250,137
7,05H,282.7142857,277,284,247,317,318,355,181
7,06H,336.1428571,347,363,303,335,344,435,226
7,07H,420.1428571,544,421,360,374,377,598,267
7,08H,500.4285714,826,490,418,403,419,494,453
7,09H,690.1428571,"1,133",718,553,582,624,581,640
7,10H,877.4285714,"1,357",935,779,705,795,801,770
7,11H,927.4285714,"1,312","1,014",831,798,849,904,784
7,12H,731,"1,035",924,704,707,710,254,783
7,13H,779.2857143,"1,039",994,653,650,652,552,915
7,14H,866.4285714,"1,107","1,076",672,710,730,746,"1,024"
7,15H,904.5714286,"1,093","1,151",677,719,725,820,"1,147"
7,16H,897.8571429,"1,030","1,228",735,665,685,697,"1,245"
7,17H,845.4285714,978,"1,265",641,623,657,666,"1,088"
7,18H,738.7142857,754,"1,163",660,536,631,582,845
7,19H,627.2857143,641,"1,184",479,428,382,484,793
7,20H,510.1428571,502,934,406,359,335,376,659
7,21H,444,404,844,350,313,318,338,541
7,22H,336.8571429,277,628,293,244,269,252,395
7,23H,268.4285714,231,476,228,221,219,233,271
8,00H,135.7142857,318,92,96,76,89,110,169
8,01H,103.7142857,252,76,66,73,97,61,101
8,02H,93.14285714,184,93,62,78,77,64,94
8,03H,83.28571429,161,86,55,71,75,60,75
8,04H,102,190,106,84,91,104,61,78
8,05H,166.2857143,233,165,125,183,160,165,133
8,06H,258.4285714,370,258,195,231,281,267,207
8,07H,357.1428571,530,375,283,274,307,425,306
8,08H,442,802,440,315,377,400,366,394
8,09H,529.2857143,982,533,401,420,476,415,478
8,10H,628.5714286,"1,065",715,498,496,509,534,583
8,11H,643,"1,097",679,517,532,557,555,564
8,12H,525.5714286,859,697,452,479,510,160,522
8,13H,537.4285714,776,706,430,444,514,340,552
8,14H,593.7142857,856,776,432,465,519,513,595
8,15H,575.1428571,790,758,428,450,477,480,643
8,16H,587.4285714,751,862,455,417,434,468,725
8,17H,546.8571429,650,824,425,405,430,458,636
8,18H,482.1428571,518,772,439,325,382,424,515
8,19H,390.4285714,451,740,290,258,216,315,463
8,20H,344.2857143,363,709,260,223,207,220,428
8,21H,297.2857143,289,687,215,168,172,203,347
8,22H,236.4285714,225,521,190,117,163,159,280
8,23H,180.7142857,174,416,126,118,117,114,200
9,00H,170,182,160,143,161,158,208,178
9,01H,143.8571429,147,129,137,139,140,157,158
9,02H,135.4285714,158,146,140,125,118,143,118
9,03H,128.4285714,124,103,141,137,134,136,124
9,04H,147.1428571,138,153,135,150,147,190,117
9,05H,186.2857143,174,183,183,178,201,223,162
9,06H,291.4285714,291,293,267,285,280,339,285
9,07H,292.8571429,316,274,253,274,291,358,284
9,08H,407.7142857,458,375,402,353,364,435,467
9,09H,539,622,444,522,408,469,575,733
9,10H,654.2857143,694,591,624,551,541,593,986
9,11H,727.2857143,745,612,631,590,578,638,"1,297"
9,12H,686.1428571,728,684,627,596,607,225,"1,336"
9,13H,848.2857143,864,794,703,691,660,573,"1,653"
9,14H,1040,"1,104",968,830,788,851,876,"1,863"
9,15H,1038.142857,"1,187",961,727,760,833,807,"1,992"
9,16H,1074.142857,"1,182","1,088",681,824,820,853,"2,071"
9,17H,1162.428571,"1,196","1,222",861,984,985,"1,001","1,888"
9,18H,971.8571429,"1,035","1,092",702,813,850,714,"1,597"
9,19H,767.4285714,844,"1,021",475,608,558,557,"1,309"
9,20H,620.7142857,736,708,395,486,468,430,"1,122"
9,21H,475.4285714,547,534,292,367,358,409,821
9,22H,407.2857143,439,401,353,337,365,381,575
9,23H,232.7142857,253,249,192,209,223,202,301
10,00H,66.28571429,66,72,70,64,74,69,49
10,01H,58.85714286,55,64,66,65,62,62,38
10,02H,74,62,77,88,99,80,85,27
10,03H,109.7142857,86,122,131,127,160,122,20
10,04H,146.2857143,101,173,146,175,198,189,42
10,05H,197.8571429,175,219,204,219,228,250,90
10,06H,332.4285714,335,376,296,357,357,428,178
10,07H,495.4285714,528,536,461,518,501,642,282
10,08H,567.1428571,666,576,586,587,554,654,347
10,09H,519.8571429,653,571,476,517,540,462,420
10,10H,622.7142857,741,710,592,604,612,585,515
10,11H,575.5714286,635,632,564,537,543,576,542
10,12H,472.4285714,554,544,413,444,410,471,471
10,13H,468.2857143,587,548,390,424,414,395,520
10,14H,532.5714286,609,618,457,435,429,513,667
10,15H,534.1428571,633,637,444,429,440,488,668
10,16H,511.1428571,585,643,432,425,408,439,646
10,17H,454.1428571,540,663,385,329,382,358,522
10,18H,395.1428571,431,649,314,314,320,298,440
10,19H,342.4285714,373,627,280,241,198,238,440
10,20H,253.1428571,236,387,201,195,192,199,362
10,21H,203.5714286,193,240,179,165,181,178,289
10,22H,134.1428571,141,157,108,123,125,137,148
10,23H,94.57142857,81,114,81,113,91,107,75
